time	V(vout)
7.435691322485623e-005	-3.699029e+000
7.626086662104389e-005	-3.700600e+000
7.826086662104416e-005	-3.646980e+000
8.026086662104442e-005	-3.536786e+000
8.226086662104469e-005	-3.370737e+000
8.426086662104496e-005	-3.151150e+000
8.626086662104522e-005	-2.881238e+000
8.826086662104549e-005	-2.565097e+000
9.026086662104575e-005	-2.207651e+000
9.226086662104602e-005	-1.814601e+000
9.426086662104628e-005	-1.392338e+000
9.626086662104655e-005	-9.482690e-001
9.826086662104681e-005	-4.916336e-001
1.002608666210471e-004	-2.754414e-002
1.022608666210473e-004	4.393228e-001
1.042608666210476e-004	8.982519e-001
1.062608666210479e-004	1.341458e+000
1.082608666210481e-004	1.763357e+000
1.102608666210484e-004	2.157133e+000
1.122608666210487e-004	2.516684e+000
1.142608666210489e-004	2.836330e+000
1.162608666210492e-004	3.111019e+000
1.182608666210495e-004	3.336390e+000
1.202608666210497e-004	3.508888e+000
1.222608666210500e-004	3.625789e+000
1.242608666210503e-004	3.685533e+000
1.262251108991048e-004	3.687176e+000
1.282251108991050e-004	3.630792e+000
1.302251108991053e-004	3.517289e+000
1.322251108991056e-004	3.348268e+000
1.342251108991058e-004	3.126480e+000
1.362251108991061e-004	2.855527e+000
1.382251108991064e-004	2.539796e+000
1.402251108991066e-004	2.184392e+000
1.422251108991069e-004	1.795072e+000
1.442251108991072e-004	1.378184e+000
1.462251108991074e-004	9.406555e-001
1.482251108991077e-004	4.910274e-001
1.495720640859542e-004	1.868620e-001
1.498672604581166e-004	1.222357e-001
1.500758273599353e-004	7.862344e-002
1.502329541254264e-004	4.815641e-002
1.503492054028052e-004	2.814461e-002
1.504426053308989e-004	1.450499e-002
1.505152709879356e-004	5.814739e-003
1.505772792948362e-004	-3.495569e-004
1.506333275094578e-004	-5.514837e-003
1.506879293174685e-004	-1.130184e-002
1.507443379210275e-004	-2.096084e-002
1.507727654609416e-004	-3.654826e-002
1.507904851650900e-004	-6.437518e-002
1.508142784034713e-004	-1.209570e-001
1.508247178491351e-004	-1.416865e-001
1.508396445392569e-004	-1.598077e-001
1.508547735470951e-004	-1.709547e-001
1.508738771430866e-004	-1.784773e-001
1.509021044682150e-004	-1.838443e-001
1.509361753905970e-004	-1.869931e-001
1.509873532212162e-004	-1.904761e-001
1.510526979803216e-004	-1.961652e-001
1.511555004154418e-004	-2.086403e-001
1.512993236936835e-004	-2.323377e-001
1.515438968324005e-004	-2.827524e-001
1.519127882233812e-004	-3.669072e-001
1.525069275523927e-004	-5.052580e-001
1.531252768693838e-004	-6.482084e-001
1.543619755033643e-004	-9.292099e-001
1.563619755033645e-004	-1.370364e+000
1.583619755033648e-004	-1.790524e+000
1.603619755033651e-004	-2.181916e+000
1.623619755033653e-004	-2.538607e+000
1.643619755033656e-004	-2.855247e+000
