Freq.	V(vout)
1.12468265038070e+002	-1.82628326064648e+000
1.15087987467431e+002	-1.81701847564441e+000
1.17768731071118e+002	-1.80820449104721e+000
1.20511917214871e+002	-1.79981978727213e+000
1.23319000372296e+002	-1.79184385651077e+000
1.26191468896038e+002	-1.78425715857288e+000
1.29130845806931e+002	-1.77704107790689e+000
1.32138689601519e+002	-1.77017788188381e+000
1.35216595078396e+002	-1.76365068039197e+000
1.38366194183787e+002	-1.75744338679526e+000
1.41589156876827e+002	-1.75154068027996e+000
1.44887192014998e+002	-1.74592796961388e+000
1.48262048260183e+002	-1.74059135833035e+000
1.51715515005836e+002	-1.73551761133043e+000
1.55249423325738e+002	-1.73069412290342e+000
1.58865646944856e+002	-1.72610888614602e+000
1.62566103232819e+002	-1.72175046376324e+000
1.66352754220534e+002	-1.71760796022238e+000
1.70227607640475e+002	-1.71367099523143e+000
1.74192717991216e+002	-1.70992967850648e+000
1.78250187626749e+002	-1.70637458578873e+000
1.82402167871181e+002	-1.70299673607499e+000
1.86650860159398e+002	-1.69978757001220e+000
1.90998517204287e+002	-1.69673892941638e+000
1.95447444191162e+002	-1.69384303787027e+000
1.99999999999999e+002	-1.69109248234732e+000
2.04658598456150e+002	-1.68848019581969e+000
2.09425709610179e+002	-1.68599944080235e+000
2.14303861047521e+002	-1.68364379378237e+000
2.19295639228636e+002	-1.68140713048613e+000
2.24403690860392e+002	-1.67928361194594e+000
2.29630724299376e+002	-1.67726767130799e+000
2.34979510987905e+002	-1.67535400134607e+000
2.40452886923482e+002	-1.67353754263612e+000
2.46053754162476e+002	-1.67181347234892e+000
2.51785082358833e+002	-1.67017719362107e+000
2.57649910338626e+002	-1.66862432546495e+000
2.63651347711281e+002	-1.66715069318768e+000
2.69792576518330e+002	-1.66575231927581e+000
2.76076852920576e+002	-1.66442541472281e+000
2.82507508924550e+002	-1.66316637076160e+000
2.89087954149185e+002	-1.66197175097883e+000
2.95821677633641e+002	-1.66083828378606e+000
3.02712249687241e+002	-1.65976285522128e+000
3.09763323782495e+002	-1.65874250205751e+000
3.16978638492222e+002	-1.65777440520814e+000
3.24362019471785e+002	-1.65685588339778e+000
3.31917381487511e+002	-1.65598438709184e+000
3.39648730492348e+002	-1.65515749267074e+000
3.47560165749874e+002	-1.65437289682741e+000
3.55655882007783e+002	-1.65362841118428e+000
3.63940171721995e+002	-1.65292195711906e+000
3.72417427332572e+002	-1.65225156078576e+000
3.81092143592648e+002	-1.65161534832411e+000
3.89968919951608e+002	-1.65101154125059e+000
3.99052462993775e+002	-1.65043845203063e+000
4.08347588933904e+002	-1.64989447981089e+000
4.17859226170806e+002	-1.64937810632357e+000
4.27592417900445e+002	-1.64888789194313e+000
4.37552324789909e+002	-1.64842247190360e+000
4.47744227713666e+002	-1.64798055266149e+000
4.58173530553553e+002	-1.64756090840781e+000
4.68845763063983e+002	-1.64716237771826e+000
4.79766583803896e+002	-1.64678386034904e+000
4.90941783137004e+002	-1.64642431416038e+000
5.02377286301914e+002	-1.64608275217421e+000
5.14079156553771e+002	-1.64575823976204e+000
5.26053598379074e+002	-1.64544989195260e+000
5.38306960785381e+002	-1.64515687086309e+000
5.50845740667631e+002	-1.64487838324725e+000
5.63676586252888e+002	-1.64461367815440e+000
5.76806300625319e+002	-1.64436204470324e+000
5.90241845333275e+002	-1.64412280995669e+000
6.03990344080401e+002	-1.64389533690052e+000
6.18059086502716e+002	-1.64367902252527e+000
6.32455532033673e+002	-1.64347329599717e+000
6.47187313859254e+002	-1.64327761692567e+000
6.62262242965179e+002	-1.64309147371623e+000
6.77688312278402e+002	-1.64291438200835e+000
6.93473700905060e+002	-1.64274588319676e+000
7.09626778467148e+002	-1.64258554302580e+000
7.26156109540200e+002	-1.64243295026197e+000
7.43070458194342e+002	-1.64228771543697e+000
7.60378792641119e+002	-1.64214946965497e+000
7.78090289988558e+002	-1.64201786346863e+000
7.96214341106991e+002	-1.64189256581284e+000
8.14760555608222e+002	-1.64177326300041e+000
8.33738766940667e+002	-1.64165965776884e+000
8.53159037603181e+002	-1.64155146838414e+000
8.73031664480328e+002	-1.64144842779085e+000
8.93367184301922e+002	-1.64135028281214e+000
9.14176379229746e+002	-1.64125679339365e+000
9.35470282574392e+002	-1.64116773188835e+000
9.57260184645272e+002	-1.64108288238522e+000
9.79557638736888e+002	-1.64100204007113e+000
1.00237446725454e+003	-1.64092501063362e+000
1.02572276798272e+003	-1.64085160969347e+000
1.04961492049954e+003	-1.64078166227035e+000
1.07406359274050e+003	-1.64071500228100e+000
1.09908174771524e+003	-1.64065147206280e+000
1.12468265038069e+003	-1.64059092192525e+000
1.15087987467431e+003	-1.64053320972691e+000
1.17768731071117e+003	-1.64047820047917e+000
1.20511917214871e+003	-1.64042576596379e+000
1.23319000372296e+003	-1.64037578438319e+000
1.26191468896038e+003	-1.64032814002247e+000
1.29130845806930e+003	-1.64028272293268e+000
1.32138689601518e+003	-1.64023942863265e+000
1.35216595078396e+003	-1.64019815782649e+000
1.38366194183787e+003	-1.64015881613657e+000
1.41589156876827e+003	-1.64012131385410e+000
1.44887192014997e+003	-1.64008556569768e+000
1.48262048260183e+003	-1.64005149059318e+000
1.51715515005836e+003	-1.64001901145866e+000
1.55249423325738e+003	-1.63998805500559e+000
1.58865646944855e+003	-1.63995855154746e+000
1.62566103232819e+003	-1.63993043482317e+000
1.66352754220533e+003	-1.63990364182803e+000
1.70227607640474e+003	-1.63987811264974e+000
1.74192717991215e+003	-1.63985379032269e+000
1.78250187626748e+003	-1.63983062068157e+000
1.82402167871181e+003	-1.63980855222663e+000
1.86650860159397e+003	-1.63978753599633e+000
1.90998517204286e+003	-1.63976752544645e+000
1.95447444191161e+003	-1.63974847633564e+000
1.99999999999999e+003	-1.63973034661664e+000
2.04658598456150e+003	-1.63971309633498e+000
2.09425709610179e+003	-1.63969668752972e+000
2.14303861047520e+003	-1.63968108414643e+000
2.19295639228636e+003	-1.63966625194701e+000
2.24403690860391e+003	-1.63965215842757e+000
2.29630724299375e+003	-1.63963877274319e+000
2.34979510987905e+003	-1.63962606563419e+000
