Freq.	V(vout)
2.57649910338625e+003	2.79741140770349e+001
2.63651347711280e+003	2.79690053695059e+001
2.69792576518329e+003	2.79641186017417e+001
2.76076852920575e+003	2.79594444856026e+001
2.82507508924549e+003	2.79549740928344e+001
2.89087954149184e+003	2.79506988437018e+001
2.95821677633640e+003	2.79466104957515e+001
3.02712249687240e+003	2.79427011327255e+001
3.09763323782494e+003	2.79389631536451e+001
3.16978638492221e+003	2.79353892620876e+001
3.24362019471784e+003	2.79319724556648e+001
3.31917381487510e+003	2.79287060157190e+001
3.39648730492347e+003	2.79255834972454e+001
3.47560165749873e+003	2.79225987190498e+001
3.55655882007782e+003	2.79197457541515e+001
3.63940171721994e+003	2.79170189204280e+001
3.72417427332571e+003	2.79144127715161e+001
3.81092143592647e+003	2.79119220879609e+001
3.89968919951606e+003	2.79095418686307e+001
3.99052462993773e+003	2.79072673223682e+001
4.08347588933903e+003	2.79050938599168e+001
4.17859226170805e+003	2.79030170860846e+001
4.27592417900444e+003	2.79010327921665e+001
4.37552324789908e+003	2.78991369486143e+001
4.47744227713665e+003	2.78973256979461e+001
4.58173530553552e+003	2.78955953479029e+001
4.68845763063981e+003	2.78939423648415e+001
4.79766583803895e+003	2.78923633673521e+001
4.90941783137003e+003	2.78908551201149e+001
5.02377286301913e+003	2.78894145279680e+001
5.14079156553769e+003	2.78880386301998e+001
5.26053598379073e+003	2.78867245950543e+001
5.38306960785379e+003	2.78854697144326e+001
5.50845740667629e+003	2.78842713988080e+001
5.63676586252887e+003	2.78831271723292e+001
5.76806300625317e+003	2.78820346681109e+001
5.90241845333273e+003	2.78809916237176e+001
6.03990344080399e+003	2.78799958768150e+001
6.18059086502713e+003	2.78790453610036e+001
6.32455532033671e+003	2.78781381018130e+001
6.47187313859252e+003	2.78772722128611e+001
6.62262242965177e+003	2.78764458921691e+001
6.77688312278400e+003	2.78756574186320e+001
6.93473700905058e+003	2.78749051486254e+001
7.09626778467146e+003	2.78741875127654e+001
7.26156109540197e+003	2.78735030127974e+001
7.43070458194339e+003	2.78728502186160e+001
7.60378792641117e+003	2.78722277654206e+001
7.78090289988555e+003	2.78716343509763e+001
7.96214341106988e+003	2.78710687330130e+001
8.14760555608219e+003	2.78705297267246e+001
8.33738766940664e+003	2.78700162023773e+001
8.53159037603179e+003	2.78695270830338e+001
8.73031664480325e+003	2.78690613423701e+001
8.93367184301919e+003	2.78686180025863e+001
9.14176379229743e+003	2.78681961324274e+001
9.35470282574389e+003	2.78677948452780e+001
9.57260184645269e+003	2.78674132973529e+001
9.79557638736884e+003	2.78670506859684e+001
1.00237446725454e+004	2.78667062478978e+001
1.02572276798272e+004	2.78663792578001e+001
1.04961492049954e+004	2.78660690267273e+001
1.07406359274050e+004	2.78657749007015e+001
1.09908174771524e+004	2.78654962593611e+001
1.12468265038069e+004	2.78652325146757e+001
1.15087987467430e+004	2.78649831097252e+001
1.17768731071117e+004	2.78647475175377e+001
1.20511917214871e+004	2.78645252399898e+001
1.23319000372295e+004	2.78643158067639e+001
1.26191468896038e+004	2.78641187743619e+001
1.29130845806930e+004	2.78639337251652e+001
1.32138689601518e+004	2.78637602665601e+001
1.35216595078395e+004	2.78635980300989e+001
1.38366194183786e+004	2.78634466707127e+001
1.41589156876826e+004	2.78633058659770e+001
1.44887192014997e+004	2.78631753154125e+001
1.48262048260182e+004	2.78630547398344e+001
1.51715515005835e+004	2.78629438807394e+001
1.55249423325737e+004	2.78628424997381e+001
1.58865646944855e+004	2.78627503780195e+001
1.62566103232818e+004	2.78626673158566e+001
1.66352754220533e+004	2.78625931321468e+001
1.70227607640474e+004	2.78625276639866e+001
1.74192717991215e+004	2.78624707662801e+001
1.78250187626748e+004	2.78624223113804e+001
1.82402167871180e+004	2.78623821887605e+001
1.86650860159397e+004	2.78623503047155e+001
1.90998517204286e+004	2.78623265820910e+001
1.95447444191160e+004	2.78623109600418e+001
2.00000000000000e+004	2.78623033938172e+001
