Freq.	V(vout)
2.00000000000000e+001	2.90147447960267e+001
2.04658598456151e+001	2.92019185350163e+001
2.09425709610180e+001	2.93857607993895e+001
2.14303861047521e+001	2.95662117455458e+001
2.19295639228637e+001	2.97432163279376e+001
2.24403690860393e+001	2.99167243886252e+001
2.29630724299377e+001	3.00866907244761e+001
2.34979510987906e+001	3.02530751318930e+001
2.40452886923483e+001	3.04158424290990e+001
2.46053754162476e+001	3.05749624561849e+001
2.51785082358833e+001	3.07304100532549e+001
2.57649910338627e+001	3.08821650171789e+001
2.63651347711281e+001	3.10302120375918e+001
2.69792576518331e+001	3.11745406129195e+001
2.76076852920577e+001	3.13151449473408e+001
2.82507508924551e+001	3.14520238297036e+001
2.89087954149185e+001	3.15851804955317e+001
2.95821677633641e+001	3.17146224733312e+001
3.02712249687242e+001	3.18403614165067e+001
3.09763323782496e+001	3.19624129222385e+001
3.16978638492223e+001	3.20807963387497e+001
3.24362019471786e+001	3.21955345623953e+001
3.31917381487512e+001	3.23066538260554e+001
3.39648730492349e+001	3.24141834803125e+001
3.47560165749875e+001	3.25181557688751e+001
3.55655882007784e+001	3.26186055997142e+001
3.63940171721997e+001	3.27155703133240e+001
3.72417427332573e+001	3.28090894494999e+001
3.81092143592649e+001	3.28992045139538e+001
3.89968919951609e+001	3.29859587460410e+001
3.99052462993776e+001	3.30693968888077e+001
4.08347588933906e+001	3.31495649624714e+001
4.17859226170808e+001	3.32265100424035e+001
4.27592417900446e+001	3.33002800425686e+001
4.37552324789910e+001	3.33709235053115e+001
4.47744227713668e+001	3.34384893982920e+001
4.58173530553554e+001	3.35030269192745e+001
4.68845763063984e+001	3.35645853094157e+001
4.79766583803898e+001	3.36232136755846e+001
4.90941783137006e+001	3.36789608221965e+001
5.02377286301916e+001	3.37318750929470e+001
5.14079156553772e+001	3.37820042227802e+001
5.26053598379076e+001	3.38293952003353e+001
5.38306960785383e+001	3.38740941410798e+001
5.50845740667633e+001	3.39161461712620e+001
5.63676586252890e+001	3.39555953227755e+001
5.76806300625321e+001	3.39924844389779e+001
5.90241845333277e+001	3.40268550914696e+001
6.03990344080403e+001	3.40587475077973e+001
6.18059086502718e+001	3.40882005100259e+001
6.32455532033675e+001	3.41152514640842e+001
6.47187313859256e+001	3.41399362397817e+001
6.62262242965182e+001	3.41622891813631e+001
6.77688312278404e+001	3.41823430884576e+001
6.93473700905062e+001	3.42001292072685e+001
7.09626778467150e+001	3.42156772318339e+001
7.26156109540202e+001	3.42290153151811e+001
7.43070458194344e+001	3.42401700901916e+001
7.60378792641121e+001	3.42491666999758e+001
7.78090289988560e+001	3.42560288375648e+001
7.96214341106993e+001	3.42607787946953e+001
8.14760555608224e+001	3.42634375194702e+001
8.33738766940670e+001	3.42640246826566e+001
8.53159037603184e+001	3.42625587523671e+001
8.73031664480331e+001	3.42590570768568e+001
8.93367184301925e+001	3.42535359751464e+001
9.14176379229749e+001	3.42460108351504e+001
9.35470282574395e+001	3.42364962189748e+001
9.57260184645275e+001	3.42250059750116e+001
9.79557638736891e+001	3.42115533564175e+001
1.00237446725454e+002	3.41961511455404e+001
1.02572276798273e+002	3.41788117838014e+001
1.04961492049954e+002	3.41595475065135e+001
1.07406359274050e+002	3.41383704820576e+001
1.09908174771525e+002	3.41152929547928e+001
1.12468265038070e+002	3.40903273910452e+001
1.15087987467431e+002	3.40634866274412e+001
1.17768731071118e+002	3.40347840208312e+001
1.20511917214871e+002	3.40042335989819e+001
1.23319000372296e+002	3.39718502111838e+001
1.26191468896038e+002	3.39376496778685e+001
1.29130845806931e+002	3.39016489382985e+001
1.32138689601519e+002	3.38638661953562e+001
1.35216595078396e+002	3.38243210564362e+001
1.38366194183787e+002	3.37830346694159e+001
1.41589156876827e+002	3.37400298526832e+001
1.44887192014998e+002	3.36953312181848e+001
1.48262048260183e+002	3.36489652864670e+001
1.51715515005836e+002	3.36009605927129e+001
1.55249423325738e+002	3.35513477827807e+001
1.58865646944856e+002	3.35001596983202e+001
1.62566103232819e+002	3.34474314500672e+001
1.66352754220534e+002	3.33932004784935e+001
1.70227607640475e+002	3.33375066010531e+001
1.74192717991216e+002	3.32803920453580e+001
1.78250187626749e+002	3.32219014676948e+001
1.82402167871181e+002	3.31620819564134e+001
1.86650860159398e+002	3.31009830198099e+001
1.90998517204287e+002	3.30386565582482e+001
1.95447444191162e+002	3.29751568203975e+001
1.99999999999999e+002	3.29105403435663e+001
2.04658598456150e+002	3.28448658782604e+001
2.09425709610179e+002	3.27781942972116e+001
2.14303861047521e+002	3.27105884892561e+001
2.19295639228636e+002	3.26421132385679e+001
2.24403690860392e+002	3.25728350898811e+001
2.29630724299376e+002	3.25028222004391e+001
2.34979510987905e+002	3.24321441795486e+001
2.40452886923482e+002	3.23608719166899e+001
2.46053754162476e+002	3.22890773992661e+001
2.51785082358833e+002	3.22168335211304e+001
2.57649910338626e+002	3.21442138831419e+001
2.63651347711281e+002	3.20712925870325e+001
2.69792576518330e+002	3.19981440239554e+001
2.76076852920576e+002	3.19248426591076e+001
2.82507508924550e+002	3.18514628138625e+001
2.89087954149185e+002	3.17780784468561e+001
2.95821677633641e+002	3.17047629354846e+001
3.02712249687241e+002	3.16315888592623e+001
3.09763323782495e+002	3.15586277864609e+001
3.16978638492222e+002	3.14859500654262e+001
3.24362019471785e+002	3.14136246219197e+001
3.31917381487511e+002	3.13417187637682e+001
3.39648730492348e+002	3.12702979940522e+001
3.47560165749874e+002	3.11994258339584e+001
3.55655882007783e+002	3.11291636563619e+001
3.63940171721995e+002	3.10595705310789e+001
3.72417427332572e+002	3.09907030826336e+001
3.81092143592648e+002	3.09226153612839e+001
3.89968919951608e+002	3.08553587278977e+001
3.99052462993775e+002	3.07889817531853e+001
4.08347588933904e+002	3.07235301316429e+001
4.17859226170806e+002	3.06590466104430e+001
4.27592417900445e+002	3.05955709333791e+001
4.37552324789909e+002	3.05331397998477e+001
4.47744227713666e+002	3.04717868387258e+001
4.58173530553553e+002	3.04115425968835e+001
4.68845763063983e+002	3.03524345419654e+001
4.79766583803896e+002	3.02944870789561e+001
4.90941783137004e+002	3.02377215799624e+001
5.02377286301914e+002	3.01821564265474e+001
5.14079156553771e+002	3.01278070638773e+001
5.26053598379074e+002	3.00746860658749e+001
5.38306960785381e+002	3.00228032105177e+001
5.50845740667631e+002	2.99721655643684e+001
5.63676586252888e+002	2.99227775754064e+001
5.76806300625319e+002	2.98746411731865e+001
5.90241845333275e+002	2.98277558753607e+001
6.03990344080401e+002	2.97821188995890e+001
6.18059086502716e+002	2.97377252798701e+001
6.32455532033673e+002	2.96945679863523e+001
6.47187313859254e+002	2.96526380477148e+001
6.62262242965179e+002	2.96119246752252e+001
6.77688312278402e+002	2.95724153876511e+001
6.93473700905060e+002	2.95340961362190e+001
7.09626778467148e+002	2.94969514289027e+001
7.26156109540200e+002	2.94609644533388e+001
7.43070458194342e+002	2.94261171977596e+001
7.60378792641119e+002	2.93923905693802e+001
7.78090289988558e+002	2.93597645097278e+001
7.96214341106991e+002	2.93282181064919e+001
8.14760555608222e+002	2.92977297014937e+001
8.33738766940667e+002	2.92682769944706e+001
8.53159037603181e+002	2.92398371424037e+001
8.73031664480328e+002	2.92123868541813e+001
8.93367184301922e+002	2.91859024804404e+001
9.14176379229746e+002	2.91603600984737e+001
9.35470282574392e+002	2.91357355921384e+001
9.57260184645272e+002	2.91120047267453e+001
9.79557638736888e+002	2.90891432189381e+001
1.00237446725454e+003	2.90671268016085e+001
1.02572276798272e+003	2.90459312839282e+001
